m_ticker,ticker,comp_name,comp_name_2,exchange,currency_code,ticker_type,active_ticker_flag,comp_url,sic_4_code,sic_4_desc,zacks_x_ind_code,zacks_x_ind_desc,zacks_x_sector_code,zacks_x_sector_desc,zacks_m_ind_code,zacks_m_ind_desc,per_end_month_nbr,mr_split_date,mr_split_factor,comp_cik,country_code,country_name,comp_type,optionable_flag,sp500_member_flag,asset_type
SUI&,SUI,SUN CMNTYS INC,"Sun Communities, Inc.",NYSE,USD,S,Y,http://www.suncommunities.com,6798,Real estate investment trusts,265,REIT-EQTY TRUST - RESID,13,Finance,52,REAL ESTATE,12,,,0000912593,US,UNITED STATES,3,Y,N,COM
SULC,SUL,SULCUS HOSPTLTY,SULCUS HOSPTLTY,,,,N,,,,,,,,,,12,,,,,,,,,
SULL,SUL.1,SULLAIR CORP,SULLAIR CORP,,,,N,,,,,,,,,,12,,,,,,,,,
SUL1,SULL,SULLIVAN DENTAL,SULLIVAN DENTAL,,,,N,,,,,,,,,,12,,,,,,,,,
SUM3,SUM,SUMMIT MATERLS,"Summit Materials, Inc.",NYSE,USD,S,Y,http://www.summit-materials.com,1400,"Mining & quarrying of nonmetallic minerals, except fuels",27,BLDG-CMT/CNT/AG,8,Construction,28,BUILDING PRODS,12,2016-12-08,1.01,0001621563,US,UNITED STATES,1,Y,N,COM
TPO&,SUM.E,SUPRA MED CORP,SUPRA MED CORP,,,,N,,,,,,,,,,3,,,,,,,,,
SUM2,SUMA,SUMMA FOUR INC,SUMMA FOUR INC,,,,N,,,,,,,,,,3,,,,,,,,,
SUMC,SUMC.,SUMMIT CARE,SUMMIT CARE,,,,N,,,,,,,,,,6,,,,,,,,,
SUM4,SUME,SUMMER ENERGY,"Summer Energy Holdings, Inc.",OTC,USD,S,Y,http://www.summerenergy.com,4911,Electric services,193,UTIL-ELEC PWR,14,Utilities,53,UTIL-ELEC PWR,12,,,0001396633,US,UNITED STATES,1,N,N,COM
SUMH,SUMH,SUMMIT HEALTH,SUMMIT HEALTH,,,,N,,,,,,,,,,6,,,,,,,,,
SUMI,SUMI,SUMITOMO BK CAL,SUMITOMO BK CAL,,,,N,,,,,,,,,,12,,,,,,,,,
